,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,78,100,5.55,overcast clouds
331,Hervey Bay,AU,-25.2986,152.8535,72.03,89,14,7.18,few clouds
332,Garowe,SO,8.4054,48.4845,68.0,62,97,12.1,overcast clouds
333,Hobbs,US,32.7026,-103.136,76.19,18,0,11.5,clear sky
334,Belmonte,BR,-15.8631,-38.8828,84.2,86,100,7.31,overcast clouds
335,Berdigestyakh,RU,62.0989,126.6992,-13.95,100,100,2.66,overcast clouds
336,Ambon,ID,-3.6954,128.1814,77.14,94,40,5.75,scattered clouds
337,Harrisonville,US,38.6533,-94.3488,62.22,51,0,12.66,clear sky
338,Ankara,TR,39.9199,32.8543,31.39,74,75,8.05,broken clouds
339,Atar,MR,20.5169,-13.0499,72.3,14,0,10.71,clear sky
340,Okha,RU,53.5739,142.9478,-0.76,85,57,17.63,broken clouds
341,Vardo,NO,70.3705,31.1107,24.78,93,100,19.57,overcast clouds
